>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     65117 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 279   6  -1 -23   1   1   1
 280   7  -1 -23   1   1   1
 281   8  -1 -23   1   1   1
 282   9  -1 -23   1   1   1
 283  -9   0 -23   1   1   1
 284  -8   0 -23   1   1   1
 285  -7   0 -23   1   1   1
 286  -6   0 -23   1   1   1
 287  -5   0 -23   1   1   1
 288  -4   0 -23   1   1   1
 289  -3   0 -23   1   1   1
 290  -2   0 -23   1   1   1
 291  -1   0 -23   1   1   1
 292   0   0 -23   1   1   1
 293   1   0 -23   1   1   1
 294   2   0 -23   1   1   1
 295   3   0 -23   1   1   1
 296   4   0 -23   1   1   1
 297   5   0 -23   1   1   1
 298   6   0 -23   1   1   1
 299   7   0 -23   1   1   1
 300   8   0 -23   1   1   1
 301   9   0 -23   1   1   1
 302  -9   1 -23   1   1   1
 303  -8   1 -23   1   1   1
 304  -7   1 -23   1   1   1
 305  -6   1 -23   1   1   1
 306  -5   1 -23   1   1   1
 307  -4   1 -23   1   1   1
 308  -3   1 -23   1   1   1
 309  -2   1 -23   1   1   1
 310  -1   1 -23   1   1   1
 311   0   1 -23   1   1   1
 312   1   1 -23   1   1   1
 313   2   1 -23   1   1   1
 314   3   1 -23   1   1   1
 315   4   1 -23   1   1   1
 316   5   1 -23   1   1   1
 317   6   1 -23   1   1   1
 318   7   1 -23   1   1   1
 319   8   1 -23   1   1   1
 320   9   1 -23   1   1   1
 321  -9   2 -23   1   1   1
 322  -8   2 -23   1   1   1
 323  -7   2 -23   1   1   1
 324  -6   2 -23   1   1   1
 325  -5   2 -23   1   1   1
 326  -4   2 -23   1   1   1
 327  -3   2 -23   1   1   1
 328  -2   2 -23   1   1   1
 329  -1   2 -23   1   1   1
 330   0   2 -23   1   1   1
 331   1   2 -23   1   1   1
 332   2   2 -23   1   1   1
 333   3   2 -23   1   1   1
 334   4   2 -23   1   1   1
 335   5   2 -23   1   1   1
 336   6   2 -23   1   1   1
 337   7   2 -23   1   1   1
 338   8   2 -23   1   1   1
 339   9   2 -23   1   1   1
 340  -9   3 -23   1   1   1
 341  -8   3 -23   1   1   1
 342  -7   3 -23   1   1   1
 343  -6   3 -23   1   1   1
 344  -5   3 -23   1   1   1
 345  -4   3 -23   1   1   1
 346  -3   3 -23   1   1   1
 347  -2   3 -23   1   1   1
 348  -1   3 -23   1   1   1
 349   0   3 -23   1   1   1
 350   1   3 -23   1   1   1
 351   2   3 -23   1   1   1
 352   3   3 -23   1   1   1
 353   4   3 -23   1   1   1
 354   5   3 -23   1   1   1
 355   6   3 -23   1   1   1
 356   7   3 -23   1   1   1
 357   8   3 -23   1   1   1
 358   9   3 -23   1   1   1
 359  -8   4 -23   1   1   1
 360  -7   4 -23   1   1   1
 361  -6   4 -23   1   1   1
 362  -5   4 -23   1   1   1
 363  -4   4 -23   1   1   1
 364  -3   4 -23   1   1   1
 365  -2   4 -23   1   1   1
 366  -1   4 -23   1   1   1
 367   0   4 -23   1   1   1
 368   1   4 -23   1   1   1
 369   2   4 -23   1   1   1
 370   3   4 -23   1   1   1
 371   4   4 -23   1   1   1
 372   5   4 -23   1   1   1
 373   6   4 -23   1   1   1
 374   7   4 -23   1   1   1
 375   8   4 -23   1   1   1
 376  -8   5 -23   1   1   1
 377  -7   5 -23   1   1   1
 378  -6   5 -23   1   1   1
 379  -5   5 -23   1   1   1
 380  -4   5 -23   1   1   1
 381  -3   5 -23   1   1   1
 382  -2   5 -23   1   1   1
 383  -1   5 -23   1   1   1
 384   0   5 -23   1   1   1
 385   1   5 -23   1   1   1
 386   2   5 -23   1   1   1
 387   3   5 -23   1   1   1
 388   4   5 -23   1   1   1
 389   5   5 -23   1   1   1
 390   6   5 -23   1   1   1
 391   7   5 -23   1   1   1
 392   8   5 -23   1   1   1
 393  -7   6 -23   1   1   1
 394  -6   6 -23   1   1   1
 395  -5   6 -23   1   1   1
 396  -4   6 -23   1   1   1
 397  -3   6 -23   1   1   1
 398  -2   6 -23   1   1   1
 399  -1   6 -23   1   1   1
 400   0   6 -23   1   1   1
 401   1   6 -23   1   1   1
 402   2   6 -23   1   1   1
 403   3   6 -23   1   1   1
 404   4   6 -23   1   1   1
 405   5   6 -23   1   1   1
 406   6   6 -23   1   1   1
 407   7   6 -23   1   1   1
 408  -6   7 -23   1   1   1
 409  -5   7 -23   1   1   1
 410  -4   7 -23   1   1   1
 411  -3   7 -23   1   1   1
 412  -2   7 -23   1   1   1
 413  -1   7 -23   1   1   1
 414   0   7 -23   1   1   1
 415   1   7 -23   1   1   1
 416   2   7 -23   1   1   1
 417   3   7 -23   1   1   1
 418   4   7 -23   1   1   1
 419   5   7 -23   1   1   1
 420   6   7 -23   1   1   1
 421  -5   8 -23   1   1   1
 422  -4   8 -23   1   1   1
 423  -3   8 -23   1   1   1
 424  -2   8 -23   1   1   1
 425  -1   8 -23   1   1   1
 426   0   8 -23   1   1   1
 427   1   8 -23   1   1   1
 428   2   8 -23   1   1   1
 429   3   8 -23   1   1   1
 430   4   8 -23   1   1   1
 431   5   8 -23   1   1   1
 432  -3   9 -23   1   1   1
 433  -2   9 -23   1   1   1
 434  -1   9 -23   1   1   1
 435   0   9 -23   1   1   1
 436   1   9 -23   1   1   1
 437   2   9 -23   1   1   1
 438   3   9 -23   1   1   1
 439  -4 -11 -22   1   1   1
 440  -3 -11 -22   1   1   1
 441  -2 -11 -22   1   1   1
 442  -1 -11 -22   1   1   1
 443   0 -11 -22   1   1   1
 444   1 -11 -22   1   1   1
 445   2 -11 -22   1   1   1
 446   3 -11 -22   1   1   1
 447   4 -11 -22   1   1   1
 448  -6 -10 -22   1   1   1
 449  -5 -10 -22   1   1   1
 450  -4 -10 -22   1   1   1
 451  -3 -10 -22   1   1   1
 452  -2 -10 -22   1   1   1
 453  -1 -10 -22   1   1   1
 454   0 -10 -22   1   1   1
 455   1 -10 -22   1   1   1
 456   2 -10 -22   1   1   1
 457   3 -10 -22   1   1   1
 458   4 -10 -22   1   1   1
 459   5 -10 -22   1   1   1
 460   6 -10 -22   1   1   1
 461  -7  -9 -22   1   1   1
 462  -6  -9 -22   1   1   1
 463  -5  -9 -22   1   1   1
 464  -4  -9 -22   1   1   1
 465  -3  -9 -22   1   1   1
 466  -2  -9 -22   1   1   1
 467  -1  -9 -22   1   1   1
 468   0  -9 -22   1   1   1
 469   1  -9 -22   1   1   1
 470   2  -9 -22   1   1   1
 471   3  -9 -22   1   1   1
 472   4  -9 -22   1   1   1
 473   5  -9 -22   1   1   1
 474   6  -9 -22   1   1   1
 475   7  -9 -22   1   1   1
 476  -8  -8 -22   1   1   1
 477  -7  -8 -22   1   1   1
 478  -6  -8 -22   1   1   1
 479  -5  -8 -22   1   1   1
 480  -4  -8 -22   1   1   1
 481  -3  -8 -22   1   1   1
 482  -2  -8 -22   1   1   1
 483  -1  -8 -22   1   1   1
 484   0  -8 -22   1   1   1
 485   1  -8 -22   1   1   1
 486   2  -8 -22   1   1   1
 487   3  -8 -22   1   1   1
 488   4  -8 -22   1   1   1
 489   5  -8 -22   1   1   1
 490   6  -8 -22   1   1   1
 491   7  -8 -22   1   1   1
 492   8  -8 -22   1   1   1
 493  -9  -7 -22   1   1   1
 494  -8  -7 -22   1   1   1
 495  -7  -7 -22   1   1   1
 496  -6  -7 -22   1   1   1
 497  -5  -7 -22   1   1   1
