>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 311  -6 -12 -23   2   2   2
 312  -5 -12 -23   2   2   2
 313  -4 -12 -23   2   2   2
 314  -3 -12 -23   2   2   2
 315  -2 -12 -23   2   2   2
 316  -1 -12 -23   2   2   2
 317   0 -12 -23   2   2   2
 318   1 -12 -23   2   2   2
 319   2 -12 -23   2   2   2
 320   3 -12 -23   2   2   2
 321   4 -12 -23   2   2   2
 322   5 -12 -23   2   2   2
 323   6 -12 -23   2   2   2
 324   7 -12 -23   2   2   2
 325   8 -12 -23   2   2   2
 326   9 -12 -23   2   2   2
 327  10 -12 -23   2   2   2
 328  11 -12 -23   2   2   2
 329  12 -12 -23   2   2   2
 330  13 -12 -23   2   2   2
 331  14 -12 -23   2   2   2
 332  15 -12 -23   2   2   2
 333  16 -12 -23   2   2   2
 334  17 -12 -23   2   2   2
 335 -17 -11 -23   2   2   2
 336 -16 -11 -23   2   2   2
 337 -15 -11 -23   2   2   2
 338 -14 -11 -23   2   2   2
 339 -13 -11 -23   2   2   2
 340 -12 -11 -23   2   2   2
 341 -11 -11 -23   2   2   2
 342 -10 -11 -23   2   2   2
 343  -9 -11 -23   2   2   2
 344  -8 -11 -23   2   2   2
 345  -7 -11 -23   2   2   2
 346  -6 -11 -23   2   2   2
 347  -5 -11 -23   2   2   2
 348  -4 -11 -23   2   2   2
 349  -3 -11 -23   2   2   2
 350  -2 -11 -23   2   2   2
 351  -1 -11 -23   2   2   2
 352   0 -11 -23   2   2   2
 353   1 -11 -23   2   2   2
 354   2 -11 -23   2   2   2
 355   3 -11 -23   2   2   2
 356   4 -11 -23   2   2   2
 357   5 -11 -23   2   2   2
 358   6 -11 -23   2   2   2
 359   7 -11 -23   2   2   2
 360   8 -11 -23   2   2   2
 361   9 -11 -23   2   2   2
 362  10 -11 -23   2   2   2
 363  11 -11 -23   2   2   2
 364  12 -11 -23   2   2   2
 365  13 -11 -23   2   2   2
 366  14 -11 -23   2   2   2
 367  15 -11 -23   2   2   2
 368  16 -11 -23   2   2   2
 369  17 -11 -23   2   2   2
 370 -18 -10 -23   2   2   2
 371 -17 -10 -23   2   2   2
 372 -16 -10 -23   2   2   2
 373 -15 -10 -23   2   2   2
 374 -14 -10 -23   2   2   2
 375 -13 -10 -23   2   2   2
 376 -12 -10 -23   2   2   2
 377 -11 -10 -23   2   2   2
 378 -10 -10 -23   2   2   2
 379  -9 -10 -23   2   2   2
 380  -8 -10 -23   2   2   2
 381  -7 -10 -23   2   2   2
 382  -6 -10 -23   2   2   2
 383  -5 -10 -23   2   2   2
 384  -4 -10 -23   2   2   2
 385  -3 -10 -23   2   2   2
 386  -2 -10 -23   2   2   2
 387  -1 -10 -23   2   2   2
 388   0 -10 -23   2   2   2
 389   1 -10 -23   2   2   2
 390   2 -10 -23   2   2   2
 391   3 -10 -23   2   2   2
 392   4 -10 -23   2   2   2
 393   5 -10 -23   2   2   2
 394   6 -10 -23   2   2   2
 395   7 -10 -23   2   2   2
 396   8 -10 -23   2   2   2
 397   9 -10 -23   2   2   2
 398  10 -10 -23   2   2   2
 399  11 -10 -23   2   2   2
 400  12 -10 -23   2   2   2
 401  13 -10 -23   2   2   2
 402  14 -10 -23   2   2   2
 403  15 -10 -23   2   2   2
 404  16 -10 -23   2   2   2
 405  17 -10 -23   2   2   2
 406  18 -10 -23   2   2   2
 407 -18  -9 -23   2   2   2
 408 -17  -9 -23   2   2   2
 409 -16  -9 -23   2   2   2
 410 -15  -9 -23   2   2   2
 411 -14  -9 -23   2   2   2
 412 -13  -9 -23   2   2   2
 413 -12  -9 -23   2   2   2
 414 -11  -9 -23   2   2   2
 415 -10  -9 -23   2   2   2
 416  -9  -9 -23   2   2   2
 417  -8  -9 -23   2   2   2
 418  -7  -9 -23   2   2   2
 419  -6  -9 -23   2   2   2
 420  -5  -9 -23   2   2   2
 421  -4  -9 -23   2   2   2
 422  -3  -9 -23   2   2   2
 423  -2  -9 -23   2   2   2
 424  -1  -9 -23   2   2   2
 425   0  -9 -23   2   2   2
 426   1  -9 -23   2   2   2
 427   2  -9 -23   2   2   2
 428   3  -9 -23   2   2   2
 429   4  -9 -23   2   2   2
 430   5  -9 -23   2   2   2
 431   6  -9 -23   2   2   2
 432   7  -9 -23   2   2   2
 433   8  -9 -23   2   2   2
 434   9  -9 -23   2   2   2
 435  10  -9 -23   2   2   2
 436  11  -9 -23   2   2   2
 437  12  -9 -23   2   2   2
 438  13  -9 -23   2   2   2
 439  14  -9 -23   2   2   2
 440  15  -9 -23   2   2   2
 441  16  -9 -23   2   2   2
 442  17  -9 -23   2   2   2
 443  18  -9 -23   2   2   2
 444 -19  -8 -23   2   2   2
 445 -18  -8 -23   2   2   2
