>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     65117 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 281   0  -8 -22   2   2   2
 282   1  -8 -22   2   2   2
 283   2  -8 -22   2   2   2
 284   3  -8 -22   2   2   2
 285   4  -8 -22   2   2   2
 286   5  -8 -22   2   2   2
 287   6  -8 -22   2   2   2
 288   7  -8 -22   2   2   2
 289   8  -8 -22   2   2   2
 290  -9  -7 -22   2   2   2
 291  -8  -7 -22   2   2   2
 292  -7  -7 -22   2   2   2
 293  -6  -7 -22   2   2   2
 294  -5  -7 -22   2   2   2
 295  -4  -7 -22   2   2   2
 296  -3  -7 -22   2   2   2
 297  -2  -7 -22   2   2   2
 298  -1  -7 -22   2   2   2
 299   0  -7 -22   2   2   2
 300   1  -7 -22   2   2   2
 301   2  -7 -22   2   2   2
 302   3  -7 -22   2   2   2
 303   4  -7 -22   2   2   2
 304   5  -7 -22   2   2   2
 305   6  -7 -22   2   2   2
 306   7  -7 -22   2   2   2
 307   8  -7 -22   2   2   2
 308   9  -7 -22   2   2   2
 309 -10  -6 -22   2   2   2
 310  -9  -6 -22   2   2   2
 311  -8  -6 -22   2   2   2
 312  -7  -6 -22   2   2   2
 313  -6  -6 -22   2   2   2
 314  -5  -6 -22   2   2   2
 315  -4  -6 -22   2   2   2
 316  -3  -6 -22   2   2   2
 317  -2  -6 -22   2   2   2
 318  -1  -6 -22   2   2   2
 319   0  -6 -22   2   2   2
 320   1  -6 -22   2   2   2
 321   2  -6 -22   2   2   2
 322   3  -6 -22   2   2   2
 323   4  -6 -22   2   2   2
 324   5  -6 -22   2   2   2
 325   6  -6 -22   2   2   2
 326   7  -6 -22   2   2   2
 327   8  -6 -22   2   2   2
 328   9  -6 -22   2   2   2
 329  10  -6 -22   2   2   2
 330 -10  -5 -22   2   2   2
 331  -9  -5 -22   2   2   2
 332  -8  -5 -22   2   2   2
 333  -7  -5 -22   2   2   2
 334  -6  -5 -22   2   2   2
 335  -5  -5 -22   2   2   2
 336  -4  -5 -22   2   2   2
 337  -3  -5 -22   2   2   2
 338  -2  -5 -22   2   2   2
 339  -1  -5 -22   2   2   2
 340   0  -5 -22   2   2   2
 341   1  -5 -22   2   2   2
 342   2  -5 -22   2   2   2
 343   3  -5 -22   2   2   2
 344   4  -5 -22   2   2   2
 345   5  -5 -22   2   2   2
 346   6  -5 -22   2   2   2
 347   7  -5 -22   2   2   2
 348   8  -5 -22   2   2   2
 349   9  -5 -22   2   2   2
 350  10  -5 -22   2   2   2
 351 -11  -4 -22   2   2   2
 352 -10  -4 -22   2   2   2
 353  -9  -4 -22   2   2   2
 354  -8  -4 -22   2   2   2
 355  -7  -4 -22   2   2   2
 356  -6  -4 -22   2   2   2
 357  -5  -4 -22   2   2   2
 358  -4  -4 -22   2   2   2
 359  -3  -4 -22   2   2   2
 360  -2  -4 -22   2   2   2
 361  -1  -4 -22   2   2   2
 362   0  -4 -22   2   2   2
 363   1  -4 -22   2   2   2
 364   2  -4 -22   2   2   2
 365   3  -4 -22   2   2   2
 366   4  -4 -22   2   2   2
 367   5  -4 -22   2   2   2
 368   6  -4 -22   2   2   2
 369   7  -4 -22   2   2   2
 370   8  -4 -22   2   2   2
 371   9  -4 -22   2   2   2
 372  10  -4 -22   2   2   2
 373  11  -4 -22   2   2   2
 374 -11  -3 -22   2   2   2
 375 -10  -3 -22   2   2   2
 376  -9  -3 -22   2   2   2
 377  -8  -3 -22   2   2   2
 378  -7  -3 -22   2   2   2
 379  -6  -3 -22   2   2   2
 380  -5  -3 -22   2   2   2
 381  -4  -3 -22   2   2   2
 382  -3  -3 -22   2   2   2
 383  -2  -3 -22   2   2   2
 384  -1  -3 -22   2   2   2
 385   0  -3 -22   2   2   2
 386   1  -3 -22   2   2   2
 387   2  -3 -22   2   2   2
 388   3  -3 -22   2   2   2
 389   4  -3 -22   2   2   2
 390   5  -3 -22   2   2   2
 391   6  -3 -22   2   2   2
 392   7  -3 -22   2   2   2
 393   8  -3 -22   2   2   2
 394   9  -3 -22   2   2   2
 395  10  -3 -22   2   2   2
 396  11  -3 -22   2   2   2
 397 -11  -2 -22   2   2   2
 398 -10  -2 -22   2   2   2
 399  -9  -2 -22   2   2   2
 400  -8  -2 -22   2   2   2
 401  -7  -2 -22   2   2   2
 402  -6  -2 -22   2   2   2
 403  -5  -2 -22   2   2   2
 404  -4  -2 -22   2   2   2
 405  -3  -2 -22   2   2   2
 406  -2  -2 -22   2   2   2
 407  -1  -2 -22   2   2   2
 408   0  -2 -22   2   2   2
 409   1  -2 -22   2   2   2
 410   2  -2 -22   2   2   2
 411   3  -2 -22   2   2   2
 412   4  -2 -22   2   2   2
 413   5  -2 -22   2   2   2
 414   6  -2 -22   2   2   2
 415   7  -2 -22   2   2   2
 416   8  -2 -22   2   2   2
 417   9  -2 -22   2   2   2
 418  10  -2 -22   2   2   2
 419  11  -2 -22   2   2   2
 420 -11  -1 -22   2   2   2
 421 -10  -1 -22   2   2   2
 422  -9  -1 -22   2   2   2
 423  -8  -1 -22   2   2   2
 424  -7  -1 -22   2   2   2
 425  -6  -1 -22   2   2   2
 426  -5  -1 -22   2   2   2
 427  -4  -1 -22   2   2   2
 428  -3  -1 -22   2   2   2
 429  -2  -1 -22   2   2   2
 430  -1  -1 -22   2   2   2
 431   0  -1 -22   2   2   2
 432   1  -1 -22   2   2   2
 433   2  -1 -22   2   2   2
 434   3  -1 -22   2   2   2
 435   4  -1 -22   2   2   2
 436   5  -1 -22   2   2   2
 437   6  -1 -22   2   2   2
 438   7  -1 -22   2   2   2
 439   8  -1 -22   2   2   2
 440   9  -1 -22   2   2   2
 441  10  -1 -22   2   2   2
 442  11  -1 -22   2   2   2
 443 -11   0 -22   2   2   2
 444 -10   0 -22   2   2   2
 445  -9   0 -22   2   2   2
 446  -8   0 -22   2   2   2
 447  -7   0 -22   2   2   2
 448  -6   0 -22   2   2   2
 449  -5   0 -22   2   2   2
 450  -4   0 -22   2   2   2
 451  -3   0 -22   2   2   2
 452  -2   0 -22   2   2   2
 453  -1   0 -22   2   2   2
 454   0   0 -22   2   2   2
 455   1   0 -22   2   2   2
 456   2   0 -22   2   2   2
 457   3   0 -22   2   2   2
 458   4   0 -22   2   2   2
 459   5   0 -22   2   2   2
 460   6   0 -22   2   2   2
 461   7   0 -22   2   2   2
 462   8   0 -22   2   2   2
 463   9   0 -22   2   2   2
 464  10   0 -22   2   2   2
 465  11   0 -22   2   2   2
 466  -3 -13 -21   2   2   2
 467  -2 -13 -21   2   2   2
 468  -1 -13 -21   2   2   2
 469   0 -13 -21   2   2   2
 470   1 -13 -21   2   2   2
 471   2 -13 -21   2   2   2
 472   3 -13 -21   2   2   2
 473  -6 -12 -21   2   2   2
 474  -5 -12 -21   2   2   2
 475  -4 -12 -21   2   2   2
 476  -3 -12 -21   2   2   2
 477  -2 -12 -21   2   2   2
 478  -1 -12 -21   2   2   2
 479   0 -12 -21   2   2   2
 480   1 -12 -21   2   2   2
 481   2 -12 -21   2   2   2
 482   3 -12 -21   2   2   2
 483   4 -12 -21   2   2   2
 484   5 -12 -21   2   2   2
 485   6 -12 -21   2   2   2
 486  -7 -11 -21   2   2   2
 487  -6 -11 -21   2   2   2
 488  -5 -11 -21   2   2   2
 489  -4 -11 -21   2   2   2
 490  -3 -11 -21   2   2   2
 491  -2 -11 -21   2   2   2
 492  -1 -11 -21   2   2   2
 493   0 -11 -21   2   2   2
 494   1 -11 -21   2   2   2
 495   2 -11 -21   2   2   2
 496   3 -11 -21   2   2   2
 497   4 -11 -21   2   2   2
 498   5 -11 -21   2   2   2
 499   6 -11 -21   2   2   2
 500   7 -11 -21   2   2   2
 501  -9 -10 -21   2   2   2
 502  -8 -10 -21   2   2   2
 503  -7 -10 -21   2   2   2
 504  -6 -10 -21   2   2   2
 505  -5 -10 -21   2   2   2
